feature	chromosome	start	end	SLX-17922.D704tp_D505tp.HC22GBBXY.s_6.r_1	SLX-17921.D705tp_D508tp.H5J55BBXY.s_8.r_1
1:118500001-119000000	1	118500001	119000000	1.065	1.075
1:119000001-119500000	1	119000001	119500000	0.993	1.084
1:119500001-120000000	1	119500001	120000000	1.054	1.09
1:147500001-148000000	1	147500001	148000000	1.073	1.045
1:150000001-150500000	1	150000001	150500000	1.053	0.997
1:150500001-151000000	1	150500001	151000000	0.908	0.962
1:151000001-151500000	1	151000001	151500000	0.986	1.02
1:151500001-152000000	1	151500001	152000000	1.062	1.038
1:152000001-152500000	1	152000001	152500000	1.108	1.042
1:152500001-153000000	1	152500001	153000000	1.039	0.972
1:153000001-153500000	1	153000001	153500000	1.054	1.029
1:153500001-154000000	1	153500001	154000000	1.008	0.965
1:154000001-154500000	1	154000001	154500000	0.956	0.955
1:154500001-155000000	1	154500001	155000000	0.987	1.023
1:155000001-155500000	1	155000001	155500000	1.003	0.977
1:156000001-156500000	1	156000001	156500000	1.002	0.989
1:156500001-157000000	1	156500001	157000000	1.024	0.985
1:157000001-157500000	1	157000001	157500000	1.014	1.024
1:157500001-158000000	1	157500001	158000000	1.086	1.071
1:159500001-160000000	1	159500001	160000000	1.044	1.023
1:160000001-160500000	1	160000001	160500000	0.994	1.016
1:160500001-161000000	1	160500001	161000000	1.017	1.026
1:161000001-161500000	1	161000001	161500000	0.974	1.088
1:161500001-162000000	1	161500001	162000000	0.957	0.913
1:162000001-162500000	1	162000001	162500000	0.989	1.042
1:162500001-163000000	1	162500001	163000000	0.996	1.037
1:163000001-163500000	1	163000001	163500000	1.063	0.959
1:163500001-164000000	1	163500001	164000000	1.065	1.047
1:164000001-164500000	1	164000001	164500000	1.101	1.013
1:164500001-165000000	1	164500001	165000000	0.992	1.033
1:165000001-165500000	1	165000001	165500000	1.045	1.01
1:165500001-166000000	1	165500001	166000000	0.966	1.025
1:166000001-166500000	1	166000001	166500000	1.098	1.07
1:166500001-167000000	1	166500001	167000000	0.959	0.988
1:167000001-167500000	1	167000001	167500000	1.009	1.026
1:167500001-168000000	1	167500001	168000000	0.897	0.965
1:168000001-168500000	1	168000001	168500000	0.959	1.027
1:168500001-169000000	1	168500001	169000000	1.016	1.043
1:169500001-170000000	1	169500001	170000000	0.928	0.987
1:170500001-171000000	1	170500001	171000000	1.057	1.019
1:171000001-171500000	1	171000001	171500000	1.04	1.046
1:171500001-172000000	1	171500001	172000000	0.969	0.967
1:172000001-172500000	1	172000001	172500000	1.065	1.089
1:173000001-173500000	1	173000001	173500000	1.076	1.074
1:173500001-174000000	1	173500001	174000000	1.084	0.959
1:174000001-174500000	1	174000001	174500000	0.917	0.958
1:174500001-175000000	1	174500001	175000000	1.029	1.04
1:175000001-175500000	1	175000001	175500000	1.005	1.043
1:175500001-176000000	1	175500001	176000000	0.998	0.989
1:176000001-176500000	1	176000001	176500000	0.929	0.98
1:176500001-177000000	1	176500001	177000000	1.078	1.039
1:177000001-177500000	1	177000001	177500000	1.077	1.045
1:177500001-178000000	1	177500001	178000000	1.084	1.067
1:178000001-178500000	1	178000001	178500000	1.012	0.927
1:178500001-179000000	1	178500001	179000000	1.018	1.016
1:179000001-179500000	1	179000001	179500000	0.982	0.934
1:179500001-180000000	1	179500001	180000000	1.128	0.982
1:180000001-180500000	1	180000001	180500000	1.047	1.008
1:180500001-181000000	1	180500001	181000000	1.027	0.99
1:181500001-182000000	1	181500001	182000000	1.048	1.088
1:182000001-182500000	1	182000001	182500000	1.042	1.016
1:182500001-183000000	1	182500001	183000000	1.095	0.951
1:183000001-183500000	1	183000001	183500000	1.031	0.991
1:183500001-184000000	1	183500001	184000000	1.083	1.041
1:184000001-184500000	1	184000001	184500000	1.016	1.008
1:184500001-185000000	1	184500001	185000000	1.037	1.021
1:185000001-185500000	1	185000001	185500000	1.016	1
1:185500001-186000000	1	185500001	186000000	0.977	1.082
1:186000001-186500000	1	186000001	186500000	1.005	1.065
1:186500001-187000000	1	186500001	187000000	0.982	1.045
1:187000001-187500000	1	187000001	187500000	0.987	0.997
1:187500001-188000000	1	187500001	188000000	0.988	0.989
1:188000001-188500000	1	188000001	188500000	0.977	0.986
1:188500001-189000000	1	188500001	189000000	1.061	0.938
1:189000001-189500000	1	189000001	189500000	0.99	1.088
1:189500001-190000000	1	189500001	190000000	1.01	1.001
1:190000001-190500000	1	190000001	190500000	1.047	1.028
1:190500001-191000000	1	190500001	191000000	1.008	0.993
1:191000001-191500000	1	191000001	191500000	0.905	0.95
1:192000001-192500000	1	192000001	192500000	0.91	0.975
1:192500001-193000000	1	192500001	193000000	1.004	1.041
1:193000001-193500000	1	193000001	193500000	1.009	0.966
1:193500001-194000000	1	193500001	194000000	1.059	1.041
1:194000001-194500000	1	194000001	194500000	1.063	0.987
1:194500001-195000000	1	194500001	195000000	0.998	0.963
1:195500001-196000000	1	195500001	196000000	0.986	1.011
1:196000001-196500000	1	196000001	196500000	1.027	1.032
1:197000001-197500000	1	197000001	197500000	1.011	1.057
1:197500001-198000000	1	197500001	198000000	0.997	1.029
1:198000001-198500000	1	198000001	198500000	1.059	1.023
1:198500001-199000000	1	198500001	199000000	0.961	1.026
1:199500001-200000000	1	199500001	200000000	0.92	0.932
1:200000001-200500000	1	200000001	200500000	0.987	0.972
1:200500001-201000000	1	200500001	201000000	1.059	1.052
1:201000001-201500000	1	201000001	201500000	1.007	0.955
1:201500001-202000000	1	201500001	202000000	0.997	0.953
1:202000001-202500000	1	202000001	202500000	1.12	1.05
1:202500001-203000000	1	202500001	203000000	1.006	1.036
1:203000001-203500000	1	203000001	203500000	1.066	1.081
1:203500001-204000000	1	203500001	204000000	0.939	0.989
1:204000001-204500000	1	204000001	204500000	1.032	1.038
1:204500001-205000000	1	204500001	205000000	1.05	0.945
1:205000001-205500000	1	205000001	205500000	1.071	1.062
1:205500001-206000000	1	205500001	206000000	1	1.007
1:206500001-207000000	1	206500001	207000000	0.967	0.977
1:207000001-207500000	1	207000001	207500000	0.9	0.978
1:207500001-208000000	1	207500001	208000000	1.127	0.982
1:208000001-208500000	1	208000001	208500000	0.978	1.043
1:208500001-209000000	1	208500001	209000000	1.038	1.02
1:209000001-209500000	1	209000001	209500000	0.957	0.985
1:209500001-210000000	1	209500001	210000000	1.065	0.993
1:210000001-210500000	1	210000001	210500000	1.1	0.928
1:210500001-211000000	1	210500001	211000000	1.119	1.017
1:211000001-211500000	1	211000001	211500000	1.051	1.005
1:211500001-212000000	1	211500001	212000000	1.012	0.961
1:212000001-212500000	1	212000001	212500000	0.946	0.913
1:212500001-213000000	1	212500001	213000000	1	0.915
1:213000001-213500000	1	213000001	213500000	0.991	1.014
1:213500001-214000000	1	213500001	214000000	1.036	1.043
1:214000001-214500000	1	214000001	214500000	1.085	0.945
1:216000001-216500000	1	216000001	216500000	0.973	1.024
1:216500001-217000000	1	216500001	217000000	0.973	1.054
1:217000001-217500000	1	217000001	217500000	0.918	1.021
1:217500001-218000000	1	217500001	218000000	0.983	1.01
1:218000001-218500000	1	218000001	218500000	0.996	0.957
1:218500001-219000000	1	218500001	219000000	0.942	1.078
1:219000001-219500000	1	219000001	219500000	1.002	0.944
1:219500001-220000000	1	219500001	220000000	0.977	0.996
1:220000001-220500000	1	220000001	220500000	0.954	0.952
1:220500001-221000000	1	220500001	221000000	1.006	0.955
1:221000001-221500000	1	221000001	221500000	0.981	1.044
1:221500001-222000000	1	221500001	222000000	1.05	1.066
1:222000001-222500000	1	222000001	222500000	1.091	1.154
1:222500001-223000000	1	222500001	223000000	0.967	0.909
1:223000001-223500000	1	223000001	223500000	0.949	1.061
1:224000001-224500000	1	224000001	224500000	0.932	0.919
1:224500001-225000000	1	224500001	225000000	0.999	1.021
1:225000001-225500000	1	225000001	225500000	0.959	0.973
1:225500001-226000000	1	225500001	226000000	0.877	1.026
1:226000001-226500000	1	226000001	226500000	0.997	0.92
1:227000001-227500000	1	227000001	227500000	0.996	1.029
1:228000001-228500000	1	228000001	228500000	0.953	0.94
1:228500001-229000000	1	228500001	229000000	1.04	1.181
1:229500001-230000000	1	229500001	230000000	0.943	1.007
1:230000001-230500000	1	230000001	230500000	0.936	0.944
1:230500001-231000000	1	230500001	231000000	0.995	0.959
1:231000001-231500000	1	231000001	231500000	0.989	1.043
1:231500001-232000000	1	231500001	232000000	1.012	1.052
1:232000001-232500000	1	232000001	232500000	0.962	1.082
1:232500001-233000000	1	232500001	233000000	0.969	0.999
1:233500001-234000000	1	233500001	234000000	1.025	0.987
1:234000001-234500000	1	234000001	234500000	1.048	0.995
1:234500001-235000000	1	234500001	235000000	0.972	0.996
1:235000001-235500000	1	235000001	235500000	0.948	0.944
1:236000001-236500000	1	236000001	236500000	0.967	1.027
1:236500001-237000000	1	236500001	237000000	0.959	1.013
1:237000001-237500000	1	237000001	237500000	1.008	1.053
1:238000001-238500000	1	238000001	238500000	1.001	0.944
1:238500001-239000000	1	238500001	239000000	1.002	0.943
1:239000001-239500000	1	239000001	239500000	0.916	1.037
1:239500001-240000000	1	239500001	240000000	0.999	0.947
1:240000001-240500000	1	240000001	240500000	0.962	0.957
1:240500001-241000000	1	240500001	241000000	1.045	0.971
1:241000001-241500000	1	241000001	241500000	0.968	1.051
1:241500001-242000000	1	241500001	242000000	0.933	1.046
1:242000001-242500000	1	242000001	242500000	0.988	0.947
1:243500001-244000000	1	243500001	244000000	1.069	0.959
1:244000001-244500000	1	244000001	244500000	0.951	0.95
1:244500001-245000000	1	244500001	245000000	0.993	0.98
1:245000001-245500000	1	245000001	245500000	1.135	1.006
1:245500001-246000000	1	245500001	246000000	1.072	1.04
1:246000001-246500000	1	246000001	246500000	1.023	1.022
1:246500001-247000000	1	246500001	247000000	0.952	0.968
1:247000001-247500000	1	247000001	247500000	0.911	1.007
1:247500001-248000000	1	247500001	248000000	0.984	0.953
2:1-500000	2	1	500000	0.973	0.989
2:1500001-2000000	2	1500001	2000000	0.986	0.999
2:2000001-2500000	2	2000001	2500000	1.043	1.031
2:2500001-3000000	2	2500001	3000000	1.027	1.002
2:3000001-3500000	2	3000001	3500000	0.955	0.996
2:3500001-4000000	2	3500001	4000000	0.926	1.015
2:4000001-4500000	2	4000001	4500000	1.002	0.976
2:4500001-5000000	2	4500001	5000000	0.938	0.975
2:5000001-5500000	2	5000001	5500000	0.935	0.952
2:5500001-6000000	2	5500001	6000000	1.052	1.052
2:6000001-6500000	2	6000001	6500000	1.02	0.984
2:6500001-7000000	2	6500001	7000000	0.973	1.008
2:7000001-7500000	2	7000001	7500000	1.046	0.944
2:7500001-8000000	2	7500001	8000000	0.997	1.021
2:8000001-8500000	2	8000001	8500000	1.001	0.994
2:8500001-9000000	2	8500001	9000000	0.91	0.954
2:9000001-9500000	2	9000001	9500000	0.945	0.943
2:9500001-10000000	2	9500001	10000000	0.991	0.982
2:10000001-10500000	2	10000001	10500000	0.922	0.941
2:10500001-11000000	2	10500001	11000000	0.984	1.071
2:11000001-11500000	2	11000001	11500000	0.986	0.949
2:11500001-12000000	2	11500001	12000000	1.016	1.02
2:12000001-12500000	2	12000001	12500000	0.938	1.008
2:12500001-13000000	2	12500001	13000000	0.972	1.043
2:13000001-13500000	2	13000001	13500000	0.99	0.936
2:13500001-14000000	2	13500001	14000000	1.076	0.95
2:14000001-14500000	2	14000001	14500000	0.968	1.038
2:14500001-15000000	2	14500001	15000000	1.134	0.991
2:15000001-15500000	2	15000001	15500000	0.974	0.926
2:15500001-16000000	2	15500001	16000000	0.992	1.008
2:16500001-17000000	2	16500001	17000000	1.132	0.972
2:17000001-17500000	2	17000001	17500000	1.057	0.97
2:17500001-18000000	2	17500001	18000000	0.995	1.017
2:18000001-18500000	2	18000001	18500000	1.09	0.927
2:18500001-19000000	2	18500001	19000000	1.04	1
2:19000001-19500000	2	19000001	19500000	1.169	0.958
2:19500001-20000000	2	19500001	20000000	1.02	1.011
2:20000001-20500000	2	20000001	20500000	0.975	0.974
2:20500001-21000000	2	20500001	21000000	0.936	0.984
2:21000001-21500000	2	21000001	21500000	1.069	1.069
2:21500001-22000000	2	21500001	22000000	1.035	0.999
2:22500001-23000000	2	22500001	23000000	0.964	0.932
2:23000001-23500000	2	23000001	23500000	1.04	0.995
2:23500001-24000000	2	23500001	24000000	1.022	0.989
2:24000001-24500000	2	24000001	24500000	0.999	0.912
2:25000001-25500000	2	25000001	25500000	1.055	1.037
2:25500001-26000000	2	25500001	26000000	0.966	1.001
2:26000001-26500000	2	26000001	26500000	0.855	0.964
2:26500001-27000000	2	26500001	27000000	1.019	0.99
2:27000001-27500000	2	27000001	27500000	1.047	1.088
2:27500001-28000000	2	27500001	28000000	0.961	0.982
2:28000001-28500000	2	28000001	28500000	1.034	0.987
2:28500001-29000000	2	28500001	29000000	0.999	1.001
2:29000001-29500000	2	29000001	29500000	0.946	1.015
2:29500001-30000000	2	29500001	30000000	1.001	1.033
2:30000001-30500000	2	30000001	30500000	0.948	0.982
2:30500001-31000000	2	30500001	31000000	1.037	1.013
2:31000001-31500000	2	31000001	31500000	1.07	1.057
2:31500001-32000000	2	31500001	32000000	0.978	1.004
2:32000001-32500000	2	32000001	32500000	0.929	0.917
2:33000001-33500000	2	33000001	33500000	1.023	1.041
2:34000001-34500000	2	34000001	34500000	0.977	0.983
2:34500001-35000000	2	34500001	35000000	1.003	1.011
2:35000001-35500000	2	35000001	35500000	1.046	0.995
2:35500001-36000000	2	35500001	36000000	1.055	1.042
2:36500001-37000000	2	36500001	37000000	1.022	1.079
2:37000001-37500000	2	37000001	37500000	0.952	1.016
2:37500001-38000000	2	37500001	38000000	0.912	0.908
2:38000001-38500000	2	38000001	38500000	0.981	1.022
2:38500001-39000000	2	38500001	39000000	0.95	0.928
2:39000001-39500000	2	39000001	39500000	0.942	0.929
2:39500001-40000000	2	39500001	40000000	0.931	1.061
2:40000001-40500000	2	40000001	40500000	0.98	1.031
2:41000001-41500000	2	41000001	41500000	0.972	0.97
2:41500001-42000000	2	41500001	42000000	1.121	0.978
2:42000001-42500000	2	42000001	42500000	0.952	1.013
2:42500001-43000000	2	42500001	43000000	0.994	0.972
2:43000001-43500000	2	43000001	43500000	0.954	1
2:43500001-44000000	2	43500001	44000000	0.988	1.003
2:44000001-44500000	2	44000001	44500000	0.967	1.004
2:44500001-45000000	2	44500001	45000000	0.983	1.032
2:45000001-45500000	2	45000001	45500000	1.055	0.983
2:45500001-46000000	2	45500001	46000000	1.044	0.944
2:46000001-46500000	2	46000001	46500000	0.985	1.008
2:46500001-47000000	2	46500001	47000000	0.979	0.932
2:47000001-47500000	2	47000001	47500000	1.066	1.04
2:47500001-48000000	2	47500001	48000000	1.031	0.973
2:48000001-48500000	2	48000001	48500000	0.953	0.94
2:48500001-49000000	2	48500001	49000000	1.089	0.964
2:49500001-50000000	2	49500001	50000000	1.003	1.034
2:50000001-50500000	2	50000001	50500000	1.096	1.013
2:51000001-51500000	2	51000001	51500000	0.936	0.982
2:51500001-52000000	2	51500001	52000000	1.026	0.945
2:52000001-52500000	2	52000001	52500000	0.997	1.022
2:52500001-53000000	2	52500001	53000000	0.959	0.948
2:53000001-53500000	2	53000001	53500000	1.022	0.932
2:53500001-54000000	2	53500001	54000000	0.894	0.972
2:54500001-55000000	2	54500001	55000000	0.974	0.957
2:55000001-55500000	2	55000001	55500000	0.94	0.921
2:55500001-56000000	2	55500001	56000000	1.145	1.058
2:56000001-56500000	2	56000001	56500000	1.018	0.965
2:56500001-57000000	2	56500001	57000000	0.994	1.114
2:57000001-57500000	2	57000001	57500000	0.987	1.097
2:58000001-58500000	2	58000001	58500000	1.072	1.069
2:58500001-59000000	2	58500001	59000000	0.954	1.1
2:59000001-59500000	2	59000001	59500000	1.017	1.004
2:59500001-60000000	2	59500001	60000000	1.073	0.997
2:60000001-60500000	2	60000001	60500000	1.092	1.038
2:60500001-61000000	2	60500001	61000000	0.939	0.913
